create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,16067,c030d897-5f69-461f-b49b-3acdd2d6a63d.binning_data.json,7210500,6000,,5467,2018-04-04 03:42:05.943,com.sec.android.app.shealth,2018-04-03 09:57:58.110,c030d897-5f69-461f-b49b-3acdd2d6a63d.source_info.json,1.9901892,14350.26,798.27,10600,VfS0qUERdZ,com.sec.android.app.shealth,0,c030d897-5f69-461f-b49b-3acdd2d6a63d.achievement.json,c030d897-5f69-461f-b49b-3acdd2d6a63d,1522713600000,
,16067,a8e1b88f-1323-4081-86dd-331915edc896.binning_data.json,7210411,6000,,5467,2018-04-04 05:00:03.071,com.sec.android.app.shealth,2018-04-04 05:00:03.071,,3.7518332,14350.26,798.27,10600,vUHbrX3Rww,com.sec.android.app.shealth,3972,a8e1b88f-1323-4081-86dd-331915edc896.achievement.json,a8e1b88f-1323-4081-86dd-331915edc896,1522713600000,
,6471,92a54aea-15e3-4cb0-8f94-ab45a36728aa.binning_data.json,3282538,6000,,67,2018-04-05 03:54:59.236,com.sec.android.app.shealth,2018-04-04 10:54:54.826,92a54aea-15e3-4cb0-8f94-ab45a36728aa.source_info.json,1.5385046,5050.2,232.73999,6404,VfS0qUERdZ,com.sec.android.app.shealth,0,92a54aea-15e3-4cb0-8f94-ab45a36728aa.achievement.json,92a54aea-15e3-4cb0-8f94-ab45a36728aa,1522800000000,
,6471,28eaf6b7-2d8d-44ee-bee2-23ea757a4457.binning_data.json,3282479,6000,,67,2018-04-05 05:00:02.625,com.sec.android.app.shealth,2018-04-05 05:00:02.625,,2.861111,5050.2,232.73999,6404,vUHbrX3Rww,com.sec.android.app.shealth,0,28eaf6b7-2d8d-44ee-bee2-23ea757a4457.achievement.json,28eaf6b7-2d8d-44ee-bee2-23ea757a4457,1522800000000,
,3768,31e1bd61-45cf-4268-a03a-7dcc53279083.binning_data.json,1936441,6000,,40,2018-04-06 04:46:06.846,com.sec.android.app.shealth,2018-04-05 10:23:40.730,31e1bd61-45cf-4268-a03a-7dcc53279083.source_info.json,1.4985837,2901.92,139.56999,3728,VfS0qUERdZ,com.sec.android.app.shealth,0,31e1bd61-45cf-4268-a03a-7dcc53279083.achievement.json,31e1bd61-45cf-4268-a03a-7dcc53279083,1522886400000,
,3768,04c461ac-3245-4a56-a8be-c84d6f4a021d.binning_data.json,1936402,6000,,40,2018-04-06 05:00:13.572,com.sec.android.app.shealth,2018-04-06 05:00:13.572,,2.2604287,2901.92,139.56999,3728,vUHbrX3Rww,com.sec.android.app.shealth,0,04c461ac-3245-4a56-a8be-c84d6f4a021d.achievement.json,04c461ac-3245-4a56-a8be-c84d6f4a021d,1522886400000,
,6950,7d7c1ed1-e1e6-4f63-a660-8f8adfd5482f.binning_data.json,3452552,6000,,53,2018-04-06 23:54:59.382,com.sec.android.app.shealth,2018-04-06 10:40:26.028,7d7c1ed1-e1e6-4f63-a660-8f8adfd5482f.source_info.json,1.5763668,5442.4897,241.5,6897,VfS0qUERdZ,com.sec.android.app.shealth,0,7d7c1ed1-e1e6-4f63-a660-8f8adfd5482f.achievement.json,7d7c1ed1-e1e6-4f63-a660-8f8adfd5482f,1522972800000,
,6950,63eab08e-e8dd-4a9e-992c-8597b0803d2b.binning_data.json,3452490,6000,,53,2018-04-07 05:09:00.709,com.sec.android.app.shealth,2018-04-07 05:09:00.709,,3.583333,5442.4897,241.5,6897,vUHbrX3Rww,com.sec.android.app.shealth,0,63eab08e-e8dd-4a9e-992c-8597b0803d2b.achievement.json,63eab08e-e8dd-4a9e-992c-8597b0803d2b,1522972800000,
,15995,edf33020-8ad7-44ce-ac68-281b1b53711f.binning_data.json,6188367,6000,,12715,2018-04-08 01:32:14.009,com.sec.android.app.shealth,2018-04-07 13:52:49.096,edf33020-8ad7-44ce-ac68-281b1b53711f.source_info.json,2.6859844,16621.86,1133.77,3280,VfS0qUERdZ,com.sec.android.app.shealth,0,edf33020-8ad7-44ce-ac68-281b1b53711f.achievement.json,edf33020-8ad7-44ce-ac68-281b1b53711f,1523059200000,
,15995,d7d73042-e308-47c3-b227-b8d74c5bd451.binning_data.json,6188324,6000,,12715,2018-04-08 06:19:00.488,com.sec.android.app.shealth,2018-04-08 06:19:00.488,,3.2393334,16621.86,1133.77,3280,vUHbrX3Rww,com.sec.android.app.shealth,11634,d7d73042-e308-47c3-b227-b8d74c5bd451.achievement.json,d7d73042-e308-47c3-b227-b8d74c5bd451,1523059200000,
,3589,24839cbf-c782-4152-9854-9168fee05270.binning_data.json,1825639,6000,,107,2018-04-09 03:14:53.999,com.sec.android.app.shealth,2018-04-08 14:35:02.484,24839cbf-c782-4152-9854-9168fee05270.source_info.json,1.5473645,2824.93,135.31,3482,VfS0qUERdZ,com.sec.android.app.shealth,0,24839cbf-c782-4152-9854-9168fee05270.achievement.json,24839cbf-c782-4152-9854-9168fee05270,1523145600000,
,3589,6c137a06-730d-4a0d-9620-300ae774c4f5.binning_data.json,1825591,6000,,107,2018-04-09 05:00:01.591,com.sec.android.app.shealth,2018-04-09 05:00:01.591,,3.7222226,2824.93,135.31,3482,vUHbrX3Rww,com.sec.android.app.shealth,0,6c137a06-730d-4a0d-9620-300ae774c4f5.achievement.json,6c137a06-730d-4a0d-9620-300ae774c4f5,1523145600000,
,8311,72d1c005-0604-4149-af39-73b153663698.binning_data.json,4120228,6000,,106,2018-04-10 03:47:38.870,com.sec.android.app.shealth,2018-04-09 10:54:58.754,72d1c005-0604-4149-af39-73b153663698.source_info.json,1.5776532,6500.2905,284.0899,8205,VfS0qUERdZ,com.sec.android.app.shealth,0,72d1c005-0604-4149-af39-73b153663698.achievement.json,72d1c005-0604-4149-af39-73b153663698,1523232000000,
,8311,c4cd8da6-7a51-4371-b0e8-31ca74a445a4.binning_data.json,4120141,6000,,106,2018-04-10 05:00:02.345,com.sec.android.app.shealth,2018-04-10 05:00:02.345,,2.941893,6500.2905,284.0899,8205,vUHbrX3Rww,com.sec.android.app.shealth,0,c4cd8da6-7a51-4371-b0e8-31ca74a445a4.achievement.json,c4cd8da6-7a51-4371-b0e8-31ca74a445a4,1523232000000,
,7296,58ffec99-bc3d-472f-819e-3d0b53f84f98.binning_data.json,3715638,6000,,89,2018-04-11 03:39:53.005,com.sec.android.app.shealth,2018-04-10 10:08:05.501,58ffec99-bc3d-472f-819e-3d0b53f84f98.source_info.json,1.5153438,5630.4697,261.02,7207,VfS0qUERdZ,com.sec.android.app.shealth,0,58ffec99-bc3d-472f-819e-3d0b53f84f98.achievement.json,58ffec99-bc3d-472f-819e-3d0b53f84f98,1523318400000,
,7296,c6755411-059f-410d-8ecb-2db8306bca73.binning_data.json,3715567,6000,,89,2018-04-11 05:00:06.127,com.sec.android.app.shealth,2018-04-11 05:00:06.127,,2.4722226,5630.4697,261.02,7207,vUHbrX3Rww,com.sec.android.app.shealth,0,c6755411-059f-410d-8ecb-2db8306bca73.achievement.json,c6755411-059f-410d-8ecb-2db8306bca73,1523318400000,
,2708,cb3e3340-c7aa-4422-ab8f-e928d7abb2b9.binning_data.json,1415733,6000,,15,2018-04-12 03:18:52.141,com.sec.android.app.shealth,2018-04-11 09:53:45.376,cb3e3340-c7aa-4422-ab8f-e928d7abb2b9.source_info.json,1.491213,2111.16,95.18,2693,VfS0qUERdZ,com.sec.android.app.shealth,0,cb3e3340-c7aa-4422-ab8f-e928d7abb2b9.achievement.json,cb3e3340-c7aa-4422-ab8f-e928d7abb2b9,1523404800000,
,2708,f56c18ae-5d24-4414-a79c-3de3f9906c30.binning_data.json,1415704,6000,,15,2018-04-12 05:00:03.039,com.sec.android.app.shealth,2018-04-12 05:00:03.039,,6.944443,2111.16,95.18,2693,vUHbrX3Rww,com.sec.android.app.shealth,0,f56c18ae-5d24-4414-a79c-3de3f9906c30.achievement.json,f56c18ae-5d24-4414-a79c-3de3f9906c30,1523404800000,
,5919,0f7551c7-d10f-4204-a94f-b94853e33132.binning_data.json,3197027,6000,,20,2018-04-13 03:36:54.316,com.sec.android.app.shealth,2018-04-12 10:41:04.193,0f7551c7-d10f-4204-a94f-b94853e33132.source_info.json,1.4210483,4543.13,217.68,5899,VfS0qUERdZ,com.sec.android.app.shealth,0,0f7551c7-d10f-4204-a94f-b94853e33132.achievement.json,0f7551c7-d10f-4204-a94f-b94853e33132,1523491200000,
,5919,a2d299c0-91d9-4ebd-a585-6fd9c2300cec.binning_data.json,3196973,6000,,20,2018-04-13 05:00:02.956,com.sec.android.app.shealth,2018-04-13 05:00:02.956,,3.8333333,4543.13,217.68,5899,vUHbrX3Rww,com.sec.android.app.shealth,0,a2d299c0-91d9-4ebd-a585-6fd9c2300cec.achievement.json,a2d299c0-91d9-4ebd-a585-6fd9c2300cec,1523491200000,
,7752,a62632e5-fae0-4415-9783-97a1d2c69748.binning_data.json,3548320,6000,,3096,2018-04-13 21:45:07.177,com.sec.android.app.shealth,2018-04-13 10:14:03.592,a62632e5-fae0-4415-9783-97a1d2c69748.source_info.json,1.9616348,6960.5103,416.08,4656,VfS0qUERdZ,com.sec.android.app.shealth,0,a62632e5-fae0-4415-9783-97a1d2c69748.achievement.json,a62632e5-fae0-4415-9783-97a1d2c69748,1523577600000,
,7752,75e3c0d3-d2f8-480b-af5c-ca3c893b5cea.binning_data.json,3548258,6000,,3096,2018-04-14 05:00:01.652,com.sec.android.app.shealth,2018-04-14 05:00:01.652,,3.9508333,6960.5103,416.08,4656,vUHbrX3Rww,com.sec.android.app.shealth,3356,75e3c0d3-d2f8-480b-af5c-ca3c893b5cea.achievement.json,75e3c0d3-d2f8-480b-af5c-ca3c893b5cea,1523577600000,
,1453,cb25dfee-548c-44e4-9123-2893f5e25f7e.binning_data.json,775865,6000,,8,2018-04-14 21:14:59.051,com.sec.android.app.shealth,2018-04-14 05:36:36.770,cb25dfee-548c-44e4-9123-2893f5e25f7e.source_info.json,1.4354672,1113.73,52.789997,1445,VfS0qUERdZ,com.sec.android.app.shealth,0,cb25dfee-548c-44e4-9123-2893f5e25f7e.achievement.json,cb25dfee-548c-44e4-9123-2893f5e25f7e,1523664000000,
,1453,0d5f207f-2538-43f2-8948-5f59f94807a0.binning_data.json,775852,6000,,8,2018-04-15 05:00:03.788,com.sec.android.app.shealth,2018-04-15 05:00:03.788,,3.0555556,1113.73,52.789997,1445,vUHbrX3Rww,com.sec.android.app.shealth,0,0d5f207f-2538-43f2-8948-5f59f94807a0.achievement.json,0d5f207f-2538-43f2-8948-5f59f94807a0,1523664000000,
,616,b0790ec7-2263-48ff-a3a5-d110cc3992d0.binning_data.json,322948,6000,,2,2018-04-16 03:42:11.993,com.sec.android.app.shealth,2018-04-15 05:42:53.478,b0790ec7-2263-48ff-a3a5-d110cc3992d0.source_info.json,1.4290516,461.51,22.589996,614,VfS0qUERdZ,com.sec.android.app.shealth,0,b0790ec7-2263-48ff-a3a5-d110cc3992d0.achievement.json,b0790ec7-2263-48ff-a3a5-d110cc3992d0,1523750400000,
