"date","avg_stress","step_count","run_step_count","walk_step_count","recommendation","avg_heart_rate","calories_burned","step_count_reached"
2020-04-24,20.1333333333333,3319,45,3274,6000,63.8571428571429,1799.09037,FALSE
2020-04-25,43.7333333333333,5544,32,5512,6000,74.1875,1856.76637,FALSE
2020-04-26,36.7142857142857,4048,94,3954,6000,73.1111111111111,1822.03647,FALSE
2020-04-27,32.2352941176471,5301,76,5225,6000,68.6190476190476,2317.2751,FALSE
2020-04-28,26.3333333333333,6211,74,6137,6000,68.6,1876.60961,TRUE
2020-04-29,33.7142857142857,7119,37,7082,6000,71.76,1896.88646,TRUE
2020-04-30,31.4375,9102,44,9058,6000,69.8571428571429,1953.29566,TRUE
2020-05-01,32.3157894736842,7207,35,7172,6000,79.44,1898.76573,TRUE
2020-05-29,36.3684210526316,6687,55,6632,6000,71.125,2455.0627,TRUE
2020-05-30,14.8823529411765,7779,27,7752,6000,69.2083333333333,1755.5959,TRUE
2020-06-01,37.875,8342,5267,3075,6000,79.6521739130435,1890.13962,TRUE
2020-06-02,24.2857142857143,9546,60,9486,6000,73.1363636363636,1884.51614,TRUE
2020-06-03,36.1,8287,44,8243,6000,83.5,1958.42705,TRUE
2020-06-05,32.8571428571429,15760,114,15646,6000,72.7692307692308,1977.61424,TRUE
2020-06-06,17.2857142857143,9859,108,9751,6000,60.1111111111111,2643.0483,TRUE
2020-06-09,25.05,4978,69,4909,6000,65.25,1931.1822,FALSE
2020-06-10,32.5454545454545,6668,17,6651,6000,62.8666666666667,1966.14483,TRUE
2020-06-11,28.047619047619,7827,125,7702,6000,73.1923076923077,1869.97923,TRUE
2020-06-12,26.75,10317,40,10277,6000,78.2307692307692,1947.3128,TRUE
2020-06-13,8.11111111111111,10320,76,10244,6000,61.6,2391.2678,TRUE
2020-06-14,32.9333333333333,1755,23,1732,6000,66.0454545454545,1743.96259,FALSE
2020-06-15,47.9166666666667,10239,5758,4481,6000,83.9166666666667,1757.296696,TRUE
2020-06-17,28.4285714285714,9531,73,9458,6000,70.3913043478261,1905.16896,TRUE
2020-06-18,23,8976,103,8873,6000,72.0526315789474,2122.92477,TRUE
2020-06-19,35.3333333333333,8400,46,8354,6000,76.4166666666667,1889.9838,TRUE
2020-06-20,28.0666666666667,9306,32,9274,6000,64.3809523809524,1716.2738,TRUE
2020-06-22,38.05,8535,39,8496,6000,69.7692307692308,1769.86819,TRUE
2020-06-24,36.625,6669,30,6639,6000,77.2857142857143,1908.94285,TRUE
2020-06-25,43.5294117647059,8231,58,8173,6000,70.1904761904762,1890.93366,TRUE
2020-06-26,36,8213,16,8197,6000,74.125,1914.7119,TRUE
2020-06-27,59,7899,62,7837,6000,102,2096.16137,TRUE
2020-06-28,43.5789473684211,8815,3749,5066,6000,75.625,2135.21895,TRUE
2020-06-30,25.2666666666667,8045,65,7980,6000,71.3684210526316,2147.3672,TRUE
2020-07-06,29.4285714285714,9411,5477,3934,6000,67.6153846153846,1839.7656,TRUE
2020-07-07,24.4,5227,33,5194,6000,73.4615384615385,1889.84752,FALSE
2020-07-10,28.9473684210526,12294,159,12135,6000,67.88,1983.0933,TRUE
2020-07-11,44.5625,7419,45,7374,6000,73.44,1753.5922,TRUE
2020-07-12,11.3333333333333,6065,3147,2918,6000,60.3571428571429,2107.6428,TRUE
2020-07-13,30.1052631578947,4005,39,3966,6000,71.68,1902.75127,FALSE
2020-07-14,19.8,11129,138,10991,6000,65.5833333333333,1973.18938,TRUE
